crossover;mutation;survivor_selection;parent_selection
crossover1;mutation1;survivor1;parent1

cycle_number;min;mean;max;std_deviation
5;0.0;0.13541666666666666;0.3125;0.0982706367922563
10;0.25;0.3125;0.4375;0.057054433073454806
15;0.375;0.4791666666666667;0.625;0.0736569563735987
20;0.5;0.6041666666666666;0.75;0.0820209153542897
25;0.6875;0.7239583333333334;0.8125;0.04000596743681567
30;0.75;0.7760416666666666;0.8125;0.030812915536977167
35;0.75;0.8020833333333334;0.875;0.03454817489953542
40;0.8125;0.8229166666666666;0.875;0.02329237476562281
45;0.8125;0.8229166666666666;0.875;0.02329237476562281
50;0.8125;0.8229166666666666;0.875;0.02329237476562281
55;0.8125;0.8385416666666666;0.9375;0.04000596743681567
60;0.8125;0.8697916666666666;0.9375;0.04000596743681567
65;0.875;0.9166666666666666;1.0;0.03897559777889522
