crossover;mutation;survivor_selection;parent_selection
crossover1;mutation1;bestOfAFourth;parent1

cycle_number;min;mean;max;std_deviation
5;0.0;0.052083333333333336;0.1875;0.06162583107395433
10;0.0;0.15104166666666666;0.4375;0.12358135955942368
15;0.0;0.28125;0.5625;0.22023306783193722
20;0.0;0.4114583333333333;0.75;0.26326566575208565
25;0.0;0.4375;0.8125;0.28641098093474
30;0.0;0.5416666666666666;0.8125;0.28678958120700426
35;0.0;0.5729166666666666;0.8125;0.30387400303780876
40;0.0;0.59375;0.875;0.3191990301259284
45;0.0;0.5677083333333334;0.875;0.30023681336109037
50;0.0;0.6510416666666666;0.875;0.20800755778870686
55;0.0;0.6614583333333334;0.875;0.21417588744741758
60;0.0;0.6510416666666666;0.875;0.20800755778870686
65;0.0;0.6614583333333334;0.875;0.21417588744741758
70;0.0;0.671875;0.875;0.2211549348496057
75;0.0;0.7239583333333334;0.9375;0.23861898310323557
80;0.0;0.7552083333333334;0.9375;0.2466683382544712
85;0.0;0.7604166666666666;0.9375;0.24183722429674792
90;0.0;0.7760416666666666;0.9375;0.23861898310323557
95;0.0;0.734375;0.9375;0.229816786176148
100;0.0;0.7239583333333334;0.9375;0.23309837500625258
105;0.0;0.7239583333333334;0.9375;0.23309837500625258
110;0.0;0.7395833333333334;0.9375;0.2404874245961499
115;0.0;0.7708333333333334;0.9375;0.2517301244498869
120;0.0;0.765625;0.9375;0.2449024571980989
125;0.0;0.7708333333333334;1.0;0.25558008638302704
