selection;crossover;mutation;insertion;crossover_proba;mutation_proba
randomSelection;crossAtHalf;bitFlip;randomInsertion;50;50

generation;min;mean;max;stddev;6736127;5752849;3078582;2294017;4002010;5623518;1663723;3734168;2321195;5182856;4163942;9788520;9976031;331173;4657512;4251362;4758679;9622590;8271010;2103984;9478558;4766729;1828657;6269066;5963056;9312379;1099372;4937990;2947007;2083860
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.0;0.018333333333333333;0.05;0.015073892072793351;0.02;0.02;0.04;0.0;0.0;0.0;0.01;0.0;0.05;0.03;0.02;0.02;0.0;0.0;0.04;0.03;0.01;0.02;0.03;0.02;0.01;0.0;0.04;0.0;0.04;0.03;0.02;0.0;0.02;0.03
10;0.0;0.029333333333333333;0.08;0.01878533707147383;0.02;0.02;0.04;0.0;0.03;0.01;0.01;0.01;0.08;0.03;0.01;0.02;0.01;0.04;0.06;0.06;0.03;0.04;0.04;0.02;0.03;0.02;0.06;0.01;0.06;0.03;0.02;0.02;0.02;0.03
15;0.01;0.037333333333333336;0.11;0.022350739485653612;0.03;0.03;0.04;0.04;0.03;0.02;0.01;0.01;0.11;0.03;0.01;0.04;0.01;0.06;0.06;0.06;0.04;0.06;0.06;0.03;0.03;0.02;0.07;0.01;0.06;0.03;0.05;0.02;0.02;0.03
20;0.01;0.044333333333333336;0.1;0.02499110953030208;0.03;0.06;0.04;0.07;0.05;0.02;0.01;0.01;0.09;0.03;0.01;0.07;0.02;0.08;0.06;0.05;0.04;0.04;0.09;0.03;0.03;0.05;0.1;0.01;0.06;0.03;0.06;0.02;0.03;0.04
25;0.01;0.04733333333333333;0.1;0.02322833518691246;0.03;0.06;0.04;0.07;0.05;0.02;0.03;0.02;0.1;0.04;0.01;0.07;0.03;0.08;0.06;0.05;0.05;0.05;0.08;0.03;0.03;0.06;0.1;0.02;0.06;0.03;0.06;0.02;0.03;0.04
30;0.02;0.051000000000000004;0.11;0.023713568549109883;0.02;0.05;0.08;0.09;0.05;0.04;0.03;0.04;0.11;0.05;0.03;0.07;0.03;0.08;0.05;0.04;0.05;0.1;0.08;0.03;0.03;0.03;0.07;0.02;0.06;0.04;0.06;0.03;0.03;0.04
35;0.01;0.05333333333333334;0.12;0.025342103744997617;0.02;0.05;0.08;0.12;0.06;0.04;0.04;0.04;0.11;0.05;0.03;0.07;0.04;0.08;0.04;0.04;0.06;0.07;0.09;0.01;0.06;0.05;0.07;0.01;0.06;0.05;0.06;0.03;0.03;0.04
40;0.01;0.056;0.12;0.024303634844744244;0.02;0.07;0.07;0.12;0.06;0.04;0.04;0.04;0.11;0.06;0.03;0.07;0.05;0.08;0.04;0.05;0.05;0.07;0.09;0.02;0.06;0.05;0.07;0.01;0.08;0.05;0.06;0.04;0.04;0.04
45;0.02;0.059666666666666666;0.12;0.02588221182373888;0.04;0.07;0.07;0.11;0.05;0.03;0.04;0.04;0.12;0.06;0.03;0.07;0.05;0.08;0.04;0.04;0.06;0.07;0.09;0.03;0.07;0.05;0.08;0.02;0.08;0.12;0.06;0.04;0.04;0.04
50;0.02;0.06333333333333334;0.12;0.023851391759997755;0.04;0.08;0.07;0.11;0.07;0.04;0.04;0.04;0.12;0.08;0.03;0.08;0.07;0.08;0.04;0.06;0.06;0.08;0.09;0.03;0.07;0.05;0.09;0.02;0.08;0.08;0.06;0.04;0.04;0.06
55;0.02;0.06666666666666667;0.12;0.025210227201585382;0.04;0.08;0.07;0.11;0.07;0.04;0.05;0.04;0.12;0.08;0.03;0.08;0.07;0.09;0.04;0.06;0.07;0.08;0.09;0.03;0.09;0.05;0.09;0.02;0.08;0.11;0.07;0.04;0.05;0.06
60;0.03;0.068;0.12;0.02454927018602929;0.04;0.08;0.09;0.11;0.07;0.04;0.05;0.04;0.12;0.08;0.03;0.08;0.07;0.09;0.05;0.06;0.07;0.08;0.09;0.03;0.09;0.05;0.08;0.03;0.08;0.11;0.08;0.04;0.05;0.06
65;0.03;0.06966666666666667;0.12;0.024149994248906608;0.04;0.08;0.08;0.12;0.05;0.04;0.05;0.04;0.12;0.09;0.04;0.09;0.07;0.09;0.05;0.05;0.06;0.08;0.09;0.03;0.09;0.06;0.08;0.05;0.08;0.11;0.08;0.04;0.07;0.07
70;0.03;0.072;0.12;0.02315167380558045;0.04;0.08;0.08;0.12;0.05;0.07;0.05;0.05;0.12;0.1;0.04;0.08;0.07;0.09;0.05;0.06;0.06;0.08;0.09;0.07;0.1;0.06;0.08;0.03;0.06;0.11;0.08;0.04;0.07;0.08
