selection;crossover;mutation;insertion;crossover_proba;mutation_proba
randomSelection;randomCross;oneFlip;randomInsertion;50;50

generation;min;mean;max;stddev;6736127;5752849;3078582;2294017;4002010;5623518;1663723;3734168;2321195;5182856;4163942;9788520;9976031;331173;4657512;4251362;4758679;9622590;8271010;2103984;9478558;4766729;1828657;6269066;5963056;9312379;1099372;4937990;2947007;2083860
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.0;0.015666666666666666;0.05;0.010225241100118646;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.03;0.0;0.02;0.04;0.01;0.02;0.02;0.02;0.01;0.01;0.01;0.02;0.01;0.02;0.02;0.05;0.0;0.01;0.01
10;0.01;0.025;0.06;0.011761519176251567;0.02;0.03;0.03;0.03;0.02;0.02;0.01;0.01;0.03;0.03;0.02;0.04;0.02;0.02;0.05;0.02;0.03;0.02;0.02;0.01;0.02;0.01;0.02;0.02;0.04;0.02;0.06;0.01;0.03;0.04
15;0.02;0.03266666666666666;0.06;0.012892719737209143;0.04;0.04;0.05;0.04;0.02;0.02;0.02;0.03;0.02;0.04;0.02;0.05;0.02;0.02;0.06;0.03;0.03;0.03;0.03;0.02;0.03;0.03;0.02;0.02;0.06;0.04;0.06;0.02;0.03;0.04
20;0.02;0.04066666666666667;0.08;0.016316317667360556;0.05;0.05;0.06;0.06;0.02;0.02;0.03;0.04;0.03;0.05;0.03;0.03;0.03;0.03;0.07;0.04;0.04;0.06;0.03;0.02;0.04;0.03;0.02;0.02;0.08;0.05;0.07;0.03;0.04;0.05
25;0.02;0.045;0.09;0.01746424919657298;0.05;0.05;0.06;0.06;0.03;0.02;0.03;0.05;0.04;0.05;0.03;0.04;0.03;0.03;0.07;0.06;0.04;0.08;0.04;0.05;0.03;0.03;0.02;0.02;0.09;0.05;0.07;0.03;0.05;0.05
30;0.02;0.05;0.09;0.01591644851508443;0.05;0.04;0.07;0.07;0.04;0.02;0.04;0.05;0.04;0.05;0.04;0.05;0.04;0.04;0.07;0.06;0.04;0.08;0.04;0.05;0.04;0.03;0.03;0.03;0.09;0.06;0.07;0.05;0.06;0.06
35;0.02;0.05433333333333333;0.09;0.017065234314893603;0.06;0.05;0.08;0.08;0.04;0.02;0.04;0.05;0.03;0.05;0.06;0.05;0.05;0.05;0.08;0.06;0.04;0.09;0.04;0.05;0.04;0.06;0.03;0.04;0.09;0.06;0.07;0.05;0.06;0.06
40;0.03;0.058666666666666666;0.1;0.01687865186822955;0.06;0.05;0.08;0.08;0.04;0.03;0.04;0.05;0.04;0.06;0.07;0.06;0.05;0.06;0.08;0.07;0.05;0.09;0.04;0.06;0.04;0.04;0.04;0.05;0.1;0.06;0.08;0.06;0.06;0.07
45;0.04;0.062;0.11;0.01661324772583615;0.06;0.06;0.08;0.08;0.05;0.04;0.05;0.05;0.05;0.07;0.08;0.06;0.05;0.06;0.08;0.07;0.05;0.09;0.04;0.04;0.04;0.06;0.05;0.05;0.11;0.06;0.08;0.06;0.06;0.08
50;0.02;0.06433333333333334;0.12;0.01819951159295826;0.07;0.06;0.08;0.08;0.05;0.04;0.05;0.05;0.06;0.07;0.08;0.06;0.06;0.06;0.08;0.07;0.05;0.09;0.06;0.05;0.05;0.06;0.02;0.05;0.12;0.07;0.08;0.06;0.06;0.09
55;0.03;0.06833333333333333;0.12;0.018633899812498245;0.07;0.06;0.09;0.09;0.05;0.04;0.05;0.06;0.07;0.07;0.09;0.06;0.06;0.06;0.08;0.09;0.05;0.09;0.06;0.05;0.07;0.07;0.03;0.05;0.12;0.08;0.08;0.06;0.06;0.09
60;0.04;0.07133333333333333;0.12;0.01839081896551163;0.07;0.06;0.08;0.1;0.05;0.04;0.05;0.06;0.07;0.08;0.09;0.06;0.06;0.07;0.08;0.07;0.07;0.1;0.06;0.05;0.07;0.09;0.04;0.05;0.12;0.08;0.09;0.07;0.07;0.09
65;0.04;0.07166666666666667;0.12;0.018633899812498245;0.08;0.06;0.09;0.1;0.05;0.04;0.04;0.06;0.07;0.08;0.08;0.07;0.07;0.07;0.08;0.07;0.07;0.09;0.07;0.04;0.07;0.09;0.04;0.05;0.12;0.08;0.09;0.07;0.07;0.09
70;0.04;0.07433333333333333;0.12;0.02044233080861595;0.08;0.07;0.1;0.1;0.05;0.05;0.04;0.06;0.08;0.08;0.08;0.06;0.06;0.08;0.1;0.08;0.05;0.09;0.08;0.04;0.09;0.09;0.04;0.05;0.12;0.07;0.1;0.07;0.09;0.08
