selection;crossover;mutation;insertion;crossover_proba;mutation_proba
bestFirst;crossAtHalf;bitFlip;bestOfAFourth;90;90

generation;min;mean;max;stddev;6736127;5752849;3078582;2294017;4002010;5623518;1663723;3734168;2321195;5182856;4163942;9788520;9976031;331173;4657512;4251362;4758679;9622590;8271010;2103984;9478558;4766729;1828657;6269066;5963056;9312379;1099372;4937990;2947007;2083860
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.01;0.034666666666666665;0.06;0.014544949486180953;0.03;0.05;0.03;0.04;0.02;0.06;0.04;0.05;0.06;0.05;0.01;0.02;0.03;0.04;0.02;0.01;0.02;0.03;0.03;0.02;0.06;0.02;0.04;0.04;0.04;0.02;0.04;0.05;0.02;0.05
10;0.01;0.065;0.13;0.021717888172349233;0.05;0.07;0.04;0.05;0.05;0.07;0.07;0.06;0.1;0.09;0.01;0.05;0.04;0.13;0.07;0.06;0.09;0.06;0.04;0.06;0.08;0.08;0.09;0.07;0.06;0.05;0.06;0.07;0.06;0.07
15;0.06;0.09;0.16;0.01983263304085802;0.07;0.08;0.07;0.08;0.11;0.09;0.11;0.06;0.11;0.11;0.09;0.07;0.07;0.16;0.08;0.08;0.09;0.08;0.08;0.07;0.11;0.09;0.11;0.1;0.08;0.09;0.09;0.09;0.07;0.11
20;0.08;0.122;0.19;0.024684678108764825;0.11;0.12;0.11;0.1;0.11;0.13;0.14;0.09;0.11;0.16;0.11;0.13;0.09;0.19;0.08;0.1;0.14;0.16;0.12;0.11;0.14;0.11;0.13;0.1;0.11;0.16;0.11;0.14;0.1;0.15
25;0.11;0.15066666666666667;0.23;0.02827641341393133;0.16;0.12;0.13;0.14;0.17;0.14;0.2;0.13;0.11;0.19;0.14;0.19;0.14;0.23;0.12;0.11;0.19;0.17;0.15;0.13;0.17;0.13;0.14;0.15;0.13;0.16;0.12;0.15;0.14;0.17
30;0.12;0.178;0.27;0.03187475490101846;0.18;0.16;0.17;0.16;0.2;0.17;0.21;0.18;0.12;0.2;0.16;0.22;0.18;0.27;0.13;0.15;0.23;0.2;0.18;0.15;0.23;0.14;0.17;0.17;0.15;0.17;0.14;0.18;0.18;0.19
35;0.14;0.20633333333333334;0.3;0.0348791564627867;0.21;0.19;0.19;0.19;0.24;0.21;0.26;0.21;0.17;0.22;0.2;0.23;0.19;0.3;0.16;0.18;0.27;0.21;0.21;0.18;0.25;0.17;0.17;0.24;0.17;0.2;0.14;0.18;0.23;0.22
40;0.17;0.22833333333333333;0.31;0.034936450242627044;0.25;0.19;0.21;0.22;0.27;0.22;0.28;0.22;0.18;0.23;0.23;0.25;0.19;0.31;0.2;0.21;0.29;0.25;0.23;0.22;0.29;0.18;0.22;0.25;0.19;0.21;0.17;0.2;0.24;0.25
45;0.19;0.25066666666666665;0.32;0.034922135609890124;0.28;0.21;0.22;0.25;0.28;0.23;0.29;0.23;0.21;0.24;0.25;0.26;0.2;0.32;0.24;0.24;0.32;0.28;0.27;0.23;0.31;0.19;0.26;0.27;0.21;0.25;0.2;0.23;0.26;0.29
50;0.21;0.2763333333333333;0.34;0.03188346837399525;0.3;0.25;0.23;0.27;0.29;0.28;0.32;0.26;0.29;0.26;0.27;0.29;0.23;0.32;0.26;0.27;0.33;0.3;0.32;0.26;0.34;0.24;0.28;0.26;0.23;0.28;0.21;0.25;0.3;0.3
55;0.23;0.29533333333333334;0.36;0.03393457758033177;0.32;0.28;0.25;0.32;0.31;0.31;0.36;0.27;0.3;0.34;0.29;0.3;0.25;0.33;0.27;0.28;0.34;0.3;0.34;0.28;0.34;0.25;0.31;0.26;0.24;0.3;0.23;0.26;0.3;0.33
60;0.24;0.31533333333333335;0.39;0.03862066228789397;0.33;0.32;0.26;0.34;0.34;0.33;0.37;0.29;0.33;0.37;0.3;0.32;0.27;0.39;0.3;0.31;0.35;0.31;0.38;0.29;0.35;0.25;0.32;0.25;0.24;0.32;0.27;0.31;0.3;0.35
65;0.24;0.331;0.4;0.0378021163428716;0.34;0.33;0.29;0.36;0.36;0.36;0.37;0.31;0.36;0.4;0.33;0.32;0.28;0.39;0.31;0.3;0.37;0.32;0.39;0.3;0.36;0.26;0.32;0.29;0.24;0.35;0.31;0.32;0.34;0.35
70;0.26;0.346;0.42;0.0397994974842648;0.34;0.34;0.32;0.37;0.39;0.36;0.38;0.31;0.37;0.42;0.36;0.35;0.3;0.4;0.31;0.31;0.37;0.34;0.42;0.3;0.39;0.26;0.33;0.32;0.26;0.37;0.32;0.35;0.35;0.37
