selection;crossover;mutation;insertion;crossover_proba;mutation_proba
bestFirst;crossAtHalf;oneFlip;highFitnessFirst;10;50

generation;min;mean;max;stddev;6736127;5752849;3078582;2294017;4002010;5623518;1663723;3734168;2321195;5182856;4163942;9788520;9976031;331173;4657512;4251362;4758679;9622590;8271010;2103984;9478558;4766729;1828657;6269066;5963056;9312379;1099372;4937990;2947007;2083860
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.01;0.024333333333333332;0.04;0.008439325934114774;0.02;0.03;0.03;0.03;0.02;0.03;0.03;0.02;0.02;0.04;0.04;0.02;0.01;0.01;0.03;0.03;0.04;0.02;0.02;0.01;0.02;0.02;0.03;0.02;0.02;0.03;0.03;0.03;0.02;0.01
10;0.02;0.046;0.07;0.012274635093014645;0.02;0.04;0.04;0.06;0.05;0.05;0.05;0.03;0.06;0.06;0.07;0.04;0.04;0.04;0.04;0.06;0.06;0.04;0.05;0.03;0.06;0.04;0.05;0.06;0.06;0.04;0.04;0.04;0.04;0.02
15;0.03;0.065;0.1;0.018929694486000914;0.05;0.08;0.04;0.09;0.08;0.05;0.1;0.04;0.08;0.08;0.09;0.05;0.08;0.05;0.06;0.07;0.08;0.05;0.07;0.06;0.06;0.06;0.08;0.1;0.06;0.04;0.08;0.05;0.04;0.03
20;0.04;0.08133333333333334;0.13;0.02217105219775452;0.06;0.1;0.05;0.1;0.11;0.08;0.11;0.05;0.08;0.09;0.11;0.07;0.09;0.07;0.07;0.07;0.1;0.06;0.08;0.07;0.07;0.08;0.11;0.13;0.08;0.04;0.11;0.08;0.08;0.04
25;0.05;0.09866666666666667;0.14;0.025914388967435746;0.09;0.14;0.07;0.12;0.13;0.1;0.11;0.05;0.11;0.11;0.12;0.12;0.1;0.09;0.07;0.08;0.11;0.06;0.11;0.08;0.09;0.1;0.13;0.14;0.09;0.05;0.13;0.12;0.09;0.05
30;0.07;0.11766666666666667;0.16;0.025388098699106153;0.09;0.15;0.09;0.14;0.16;0.13;0.13;0.07;0.12;0.12;0.14;0.14;0.13;0.1;0.08;0.13;0.11;0.08;0.15;0.1;0.1;0.11;0.13;0.16;0.11;0.08;0.13;0.14;0.13;0.08
35;0.09;0.13533333333333333;0.19;0.025394662606321214;0.11;0.19;0.1;0.14;0.18;0.12;0.14;0.1;0.13;0.14;0.15;0.14;0.12;0.12;0.12;0.15;0.13;0.09;0.16;0.13;0.12;0.14;0.14;0.19;0.13;0.1;0.16;0.17;0.14;0.11
40;0.1;0.152;0.22;0.028565713714171402;0.12;0.22;0.1;0.16;0.2;0.12;0.16;0.13;0.13;0.15;0.16;0.15;0.13;0.14;0.15;0.18;0.14;0.11;0.18;0.16;0.13;0.13;0.16;0.2;0.14;0.12;0.17;0.2;0.17;0.15
45;0.11;0.16933333333333334;0.25;0.03010352507966836;0.14;0.25;0.13;0.17;0.2;0.14;0.19;0.14;0.15;0.16;0.18;0.16;0.14;0.17;0.16;0.19;0.16;0.11;0.2;0.21;0.15;0.14;0.19;0.2;0.14;0.15;0.21;0.2;0.19;0.16
50;0.14;0.18366666666666667;0.28;0.03270915604060871;0.17;0.28;0.15;0.2;0.21;0.15;0.19;0.14;0.17;0.19;0.19;0.17;0.16;0.18;0.17;0.2;0.15;0.14;0.23;0.21;0.15;0.15;0.21;0.21;0.15;0.16;0.24;0.21;0.21;0.17
55;0.15;0.19633333333333333;0.28;0.0349745939536433;0.17;0.28;0.15;0.24;0.23;0.16;0.21;0.17;0.16;0.2;0.21;0.22;0.18;0.19;0.17;0.2;0.15;0.16;0.22;0.22;0.15;0.16;0.23;0.22;0.15;0.19;0.26;0.23;0.23;0.18
60;0.15;0.208;0.3;0.03409789827345179;0.19;0.3;0.16;0.23;0.22;0.17;0.22;0.2;0.17;0.2;0.23;0.24;0.2;0.2;0.17;0.19;0.15;0.19;0.24;0.23;0.17;0.18;0.25;0.23;0.18;0.18;0.25;0.25;0.25;0.2
65;0.16;0.21666666666666667;0.31;0.03636237371545238;0.2;0.31;0.16;0.23;0.24;0.17;0.23;0.2;0.17;0.19;0.25;0.26;0.21;0.19;0.19;0.21;0.16;0.24;0.23;0.24;0.18;0.19;0.24;0.24;0.19;0.18;0.24;0.29;0.25;0.22
70;0.17;0.23133333333333334;0.32;0.036030850978324425;0.2;0.32;0.18;0.26;0.25;0.18;0.26;0.22;0.19;0.19;0.26;0.26;0.22;0.23;0.2;0.21;0.17;0.26;0.26;0.25;0.2;0.2;0.24;0.24;0.21;0.2;0.27;0.29;0.27;0.25
