selection;crossover;insertion;crossover_proba;mutation_proba
bestFirst;crossAtHalf;bestOfAFourth;90;50

generation;min;mean;max;stddev;6736127;5752849;3078582;2294017;4002010;5623518;1663723;3734168;2321195;5182856;4163942;9788520;9976031;331173;4657512;4251362;4758679;9622590;8271010;2103984;9478558;4766729;1828657;6269066;5963056;9312379;1099372;4937990;2947007;2083860
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.0;0.049;0.1;0.030038863715748862;0.01;0.07;0.06;0.08;0.06;0.09;0.03;0.04;0.06;0.07;0.03;0.01;0.01;0.03;0.08;0.07;0.0;0.09;0.08;0.06;0.05;0.1;0.04;0.0;0.1;0.04;0.05;0.03;0.03;0.0
10;0.0;0.076;0.16;0.03746998799039039;0.03;0.15;0.06;0.13;0.08;0.1;0.04;0.04;0.1;0.07;0.08;0.05;0.03;0.06;0.08;0.08;0.06;0.11;0.12;0.11;0.06;0.16;0.06;0.0;0.14;0.07;0.06;0.05;0.06;0.04
15;0.01;0.10966666666666666;0.23;0.04578815955632586;0.08;0.23;0.08;0.17;0.13;0.15;0.06;0.07;0.11;0.08;0.11;0.09;0.07;0.09;0.13;0.09;0.14;0.12;0.14;0.14;0.08;0.18;0.07;0.01;0.21;0.08;0.08;0.11;0.11;0.08
20;0.07;0.14666666666666667;0.29;0.05028805910838963;0.14;0.29;0.14;0.19;0.16;0.18;0.08;0.13;0.16;0.1;0.18;0.11;0.17;0.14;0.18;0.16;0.15;0.13;0.17;0.2;0.08;0.21;0.07;0.09;0.25;0.09;0.09;0.13;0.12;0.11
25;0.1;0.18033333333333335;0.29;0.052248338623241304;0.18;0.29;0.21;0.21;0.21;0.22;0.12;0.17;0.27;0.13;0.24;0.16;0.21;0.15;0.18;0.16;0.16;0.18;0.19;0.23;0.12;0.24;0.1;0.11;0.27;0.12;0.1;0.21;0.12;0.15
30;0.13;0.21533333333333335;0.35;0.05432822061834489;0.18;0.35;0.21;0.22;0.28;0.24;0.17;0.19;0.32;0.14;0.28;0.21;0.25;0.22;0.24;0.16;0.2;0.26;0.23;0.23;0.16;0.27;0.17;0.19;0.27;0.17;0.13;0.24;0.13;0.15
35;0.15;0.24566666666666667;0.35;0.05481382631741334;0.19;0.35;0.27;0.29;0.28;0.29;0.22;0.26;0.32;0.16;0.31;0.21;0.3;0.23;0.28;0.18;0.24;0.27;0.24;0.28;0.18;0.32;0.2;0.23;0.32;0.2;0.16;0.26;0.18;0.15
40;0.19;0.2773333333333333;0.37;0.051246680109273635;0.25;0.36;0.32;0.32;0.33;0.3;0.23;0.27;0.33;0.22;0.31;0.24;0.37;0.25;0.3;0.21;0.28;0.31;0.28;0.29;0.19;0.35;0.2;0.27;0.33;0.27;0.19;0.3;0.19;0.26
45;0.2;0.301;0.39;0.051403631518924166;0.26;0.39;0.34;0.33;0.34;0.33;0.24;0.27;0.36;0.23;0.31;0.26;0.37;0.26;0.33;0.25;0.33;0.34;0.29;0.32;0.25;0.39;0.25;0.27;0.37;0.3;0.22;0.34;0.2;0.29
50;0.25;0.326;0.43;0.0440151489073175;0.32;0.39;0.34;0.33;0.34;0.36;0.28;0.29;0.38;0.27;0.31;0.31;0.39;0.29;0.36;0.26;0.35;0.36;0.33;0.33;0.29;0.43;0.3;0.28;0.4;0.32;0.27;0.34;0.25;0.31
55;0.28;0.3466666666666667;0.44;0.040606512887576156;0.37;0.39;0.36;0.35;0.38;0.37;0.3;0.3;0.38;0.28;0.31;0.34;0.4;0.3;0.36;0.28;0.37;0.36;0.37;0.36;0.29;0.44;0.36;0.28;0.41;0.35;0.33;0.37;0.32;0.32
60;0.28;0.3616666666666667;0.45;0.03899430157799413;0.38;0.42;0.37;0.35;0.39;0.37;0.32;0.32;0.43;0.32;0.31;0.35;0.42;0.31;0.36;0.28;0.38;0.39;0.37;0.37;0.33;0.45;0.36;0.35;0.41;0.36;0.33;0.37;0.36;0.32
65;0.29;0.37266666666666665;0.47;0.04471639023395734;0.4;0.43;0.37;0.35;0.4;0.37;0.33;0.32;0.47;0.35;0.31;0.35;0.43;0.31;0.36;0.29;0.43;0.42;0.37;0.37;0.34;0.47;0.36;0.36;0.41;0.4;0.34;0.37;0.37;0.33
70;0.3;0.3873333333333333;0.5;0.04952664827028868;0.4;0.45;0.37;0.38;0.41;0.39;0.34;0.32;0.48;0.4;0.33;0.35;0.43;0.31;0.36;0.3;0.44;0.43;0.39;0.38;0.34;0.5;0.41;0.4;0.44;0.45;0.35;0.37;0.37;0.33
