selection;crossover;mutation;insertion;crossover_proba;mutation_proba
randomSelection;randomCross;fiveFlip;randomInsertion;50;50

generation;min;mean;max;stddev;6736127;5752849;3078582;2294017;4002010;5623518;1663723;3734168;2321195;5182856;4163942;9788520;9976031;331173;4657512;4251362;4758679;9622590;8271010;2103984;9478558;4766729;1828657;6269066;5963056;9312379;1099372;4937990;2947007;2083860
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.05;0.08700000000000001;0.15;0.029456182146820498;0.06;0.13;0.05;0.1;0.1;0.06;0.09;0.05;0.11;0.1;0.05;0.08;0.1;0.1;0.15;0.06;0.15;0.1;0.11;0.05;0.06;0.05;0.1;0.05;0.08;0.1;0.1;0.05;0.11;0.11
10;0.05;0.13333333333333333;0.28;0.04606758320361752;0.1;0.15;0.05;0.28;0.2;0.1;0.09;0.12;0.17;0.14;0.08;0.11;0.16;0.1;0.2;0.13;0.16;0.13;0.13;0.13;0.08;0.13;0.1;0.07;0.13;0.13;0.16;0.11;0.2;0.16
15;0.08;0.16066666666666668;0.28;0.05019517462421618;0.15;0.21;0.12;0.28;0.2;0.13;0.1;0.16;0.21;0.2;0.08;0.19;0.21;0.1;0.25;0.13;0.16;0.13;0.14;0.13;0.17;0.15;0.1;0.08;0.19;0.15;0.18;0.11;0.25;0.16
20;0.1;0.179;0.28;0.04988987873306569;0.16;0.16;0.12;0.28;0.25;0.14;0.12;0.21;0.22;0.22;0.1;0.19;0.22;0.15;0.25;0.21;0.18;0.13;0.19;0.14;0.17;0.15;0.1;0.1;0.22;0.22;0.18;0.12;0.25;0.22
25;0.13;0.19666666666666666;0.31;0.043614472623456337;0.19;0.21;0.16;0.31;0.25;0.14;0.13;0.21;0.22;0.22;0.13;0.19;0.21;0.15;0.25;0.23;0.16;0.21;0.23;0.19;0.17;0.15;0.15;0.15;0.22;0.22;0.19;0.15;0.25;0.26
30;0.13;0.21766666666666667;0.37;0.05511704717135062;0.26;0.21;0.17;0.37;0.29;0.15;0.16;0.24;0.23;0.26;0.13;0.19;0.21;0.15;0.27;0.27;0.18;0.21;0.26;0.27;0.17;0.16;0.15;0.15;0.22;0.22;0.22;0.2;0.26;0.3
35;0.13;0.23066666666666666;0.37;0.05476819839610899;0.26;0.24;0.23;0.37;0.34;0.16;0.21;0.24;0.26;0.25;0.13;0.19;0.22;0.18;0.27;0.31;0.23;0.18;0.26;0.27;0.18;0.17;0.15;0.17;0.25;0.22;0.22;0.2;0.26;0.3
40;0.18;0.24766666666666667;0.38;0.046810492650924136;0.31;0.24;0.23;0.38;0.26;0.21;0.24;0.24;0.26;0.25;0.18;0.24;0.25;0.18;0.27;0.32;0.23;0.26;0.26;0.27;0.18;0.19;0.2;0.2;0.27;0.22;0.27;0.2;0.28;0.34
45;0.16;0.25333333333333335;0.42;0.05120763831912405;0.31;0.28;0.23;0.42;0.25;0.21;0.24;0.24;0.26;0.26;0.18;0.24;0.25;0.2;0.29;0.29;0.23;0.26;0.27;0.27;0.16;0.2;0.2;0.23;0.3;0.22;0.28;0.2;0.28;0.35
50;0.18;0.259;0.42;0.05230360089579557;0.31;0.28;0.23;0.42;0.27;0.21;0.25;0.24;0.26;0.28;0.18;0.23;0.3;0.2;0.29;0.21;0.23;0.27;0.27;0.27;0.18;0.24;0.2;0.28;0.3;0.23;0.28;0.2;0.28;0.38
55;0.16;0.26133333333333336;0.42;0.053462343964908815;0.31;0.28;0.23;0.42;0.27;0.24;0.26;0.24;0.29;0.3;0.18;0.23;0.3;0.23;0.26;0.21;0.23;0.27;0.27;0.27;0.21;0.21;0.16;0.28;0.3;0.22;0.28;0.2;0.31;0.38
60;0.18;0.2673333333333333;0.42;0.05685849882725438;0.35;0.3;0.23;0.42;0.3;0.24;0.29;0.24;0.3;0.3;0.18;0.23;0.3;0.19;0.27;0.21;0.23;0.27;0.3;0.26;0.21;0.21;0.19;0.31;0.32;0.22;0.28;0.2;0.29;0.38
65;0.19;0.27699999999999997;0.42;0.05484219786502604;0.35;0.3;0.24;0.42;0.3;0.19;0.29;0.25;0.3;0.31;0.23;0.23;0.3;0.19;0.34;0.24;0.24;0.27;0.3;0.29;0.21;0.21;0.21;0.31;0.33;0.24;0.31;0.24;0.29;0.38
